Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Averaged_Sales
169,Minecraft,PS3,2014.00,Misc,Sony Computer Entertainment,1.97,2.51,0,0.94,5.42,1.393316195
170,Final Fantasy XIII,PS3,2009.00,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36,1.377892031
171,Dr. Mario,GB,1989.00,Puzzle,Nintendo,2.18,0.96,2,0.2,5.34,1.372750643
172,Pokemon Pinball,GB,1999.00,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,1.36503856
174,Final Fantasy IX,PS,2000.00,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,1.362467866
173,Assassin's Creed III,X360,2012.00,Action,Ubisoft,3.13,1.71,0.03,0.44,5.3,1.362467866
175,Final Fantasy X-2,PS2,2003.00,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,1.359897172
176,Donkey Kong 64,N64,1999.00,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,1.354755784
177,Assassin's Creed II,X360,2009.00,Action,Ubisoft,3.1,1.56,0.08,0.51,5.27,1.354755784
178,Professor Layton and the Curious Village,DS,2007.00,Puzzle,Nintendo,1.22,2.48,1.03,0.52,5.26,1.35218509
179,Tomb Raider II,PS,1997.00,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,1.347043702
180,Madden NFL 2004,PS2,,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,1.344473008
181,Dragon Quest VIII: Journey of the Cursed King,PS2,2004.00,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,1.33933162
183,Super Mario Bros. 3,GBA,2003.00,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2,1.336760925
182,Diablo III,PC,2012.00,Role-Playing,Activision,2.43,2.15,0,0.62,5.2,1.336760925
184,New Super Mario Bros. U,WiiU,2012.00,Platform,Nintendo,2.32,1.3,1.27,0.31,5.19,1.334190231
185,Super Mario Land 3: Wario Land,GB,1994.00,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19,1.334190231
186,FIFA Soccer 13,X360,2012.00,Action,Electronic Arts,1.08,3.48,0.03,0.58,5.18,1.331619537
187,The Legend of Zelda: Phantom Hourglass,DS,2007.00,Action,Nintendo,1.9,1.83,0.95,0.49,5.17,1.329048843
188,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995.00,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15,1.323907455
189,Tomodachi Life,3DS,2013.00,Simulation,Nintendo,0.96,2.02,1.89,0.28,5.15,1.323907455
190,Mario & Sonic at the Olympic Games,DS,2008.00,Sports,Sega,1.64,2.48,0.44,0.58,5.14,1.321336761
194,Call of Duty: Advanced Warfare,XOne,2014.00,Shooter,Activision,3.21,1.53,0.01,0.38,5.13,1.318766067
193,Fable III,X360,2010.00,Role-Playing,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13,1.318766067
192,Kirby's Dream Land,GB,1992.00,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13,1.318766067
191,Medal of Honor: Rising Sun,PS2,2003.00,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,1.318766067
195,Microsoft Flight Simulator,PC,1996.00,Simulation,Microsoft Game Studios,3.22,1.69,0,0.2,5.12,1.316195373
196,Guitar Hero II,PS2,2006.00,Misc,RedOctane,3.81,0.63,0,0.68,5.12,1.316195373
197,Resident Evil 5,PS3,2009.00,Action,Capcom,1.96,1.43,1.08,0.65,5.11,1.313624679
198,Grand Theft Auto V,XOne,2014.00,Action,Take-Two Interactive,2.66,2.01,0,0.41,5.08,1.305912596
199,Grand Theft Auto: Vice City Stories,PSP,2006.00,Action,Take-Two Interactive,1.7,2.02,0.16,1.21,5.08,1.305912596
200,FIFA Soccer 11,PS3,2010.00,Sports,Electronic Arts,0.6,3.29,0.06,1.13,5.08,1.305912596
201,Super Mario Bros.,GB,1999.00,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07,1.303341902
202,Resident Evil,PS,1996.00,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,1.298200514
203,Tony Hawk's Pro Skater,PS,1999.00,Sports,Activision,3.42,1.38,0.02,0.2,5.02,1.290488432
204,Super Smash Bros. for Wii U and 3DS,WiiU,2014.00,Fighting,Nintendo,2.59,1.06,0.8,0.57,5.02,1.290488432
205,Warzone 2100,PS,1999.00,Strategy,Eidos Interactive,2.79,1.89,0,0.33,5.01,1.287917738
206,Spyro the Dragon,PS,1998.00,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5,1.285347044
207,Link's Crossbow Training,Wii,2007.00,Shooter,Nintendo,3.06,1.18,0.29,0.46,5,1.285347044
208,Guitar Hero III: Legends of Rock,PS2,2007.00,Misc,Activision,3.49,0.01,0.01,1.48,4.98,1.280205656
209,Fallout 3,X360,2008.00,Role-Playing,Bethesda Softworks,3.39,1.03,0.09,0.44,4.96,1.275064267
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007.00,Role-Playing,Nintendo,1.85,1.2,1.54,0.37,4.96,1.275064267
211,Uncharted: Drake's Fortune,PS3,2007.00,Action,Sony Computer Entertainment,2.31,1.73,0.12,0.78,4.94,1.269922879
212,Madden NFL 06,PS2,2005.00,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,1.262210797
213,LEGO Star Wars: The Complete Saga,DS,2007.00,Action,LucasArts,2.89,1.54,0,0.46,4.9,1.259640103
214,Diddy Kong Racing,N64,1997.00,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88,1.254498715
215,Monster Hunter Freedom 3,PSP,2010.00,Role-Playing,Capcom,0,0,4.87,0,4.87,1.251928021
216,Dr. Mario,NES,1990.00,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85,1.246786632
217,God of War III,PS3,2010.00,Action,Sony Computer Entertainment,2.74,1.36,0.12,0.63,4.84,1.244215938
218,StarCraft II: Wings of Liberty,PC,2010.00,Strategy,Activision,2.56,1.68,0,0.59,4.83,1.241645244
219,Assassin's Creed,PS3,2007.00,Adventure,Ubisoft,1.91,2,0.09,0.83,4.83,1.241645244
220,FIFA 15,PS3,2014.00,Sports,Electronic Arts,0.57,3.14,0.04,1.07,4.82,1.23907455
